stock,trading_date,avg_sentiment,news_count
AAPL,2020-03-09,-0.1484090909090909,11
AAPL,2020-03-10,-0.023850000000000003,14
AAPL,2020-03-11,-0.07836,5
AAPL,2020-03-12,-0.05972727272727273,11
AAPL,2020-03-13,0.0,2
AAPL,2020-03-16,0.015203703703703698,27
AAPL,2020-03-17,-0.07740000000000001,4
AAPL,2020-03-18,0.19130000000000003,2
AAPL,2020-03-19,0.43445,2
AAPL,2020-03-20,0.0,1
AAPL,2020-03-23,-0.043493333333333335,15
AAPL,2020-03-24,0.166925,12
AAPL,2020-03-25,0.4404,1
AAPL,2020-03-26,0.16086666666666669,12
AAPL,2020-03-27,0.0,1
AAPL,2020-03-30,0.05666,10
AAPL,2020-03-31,-0.10250000000000001,7
AAPL,2020-04-01,0.27159999999999995,4
AAPL,2020-04-02,0.05684,5
AAPL,2020-04-03,0.2202,2
AAPL,2020-04-06,0.1283875,8
AAPL,2020-04-07,0.024429999999999993,10
AAPL,2020-04-08,0.05464,5
AAPL,2020-04-13,0.07224615384615385,13
AAPL,2020-04-14,0.22291666666666668,6
AAPL,2020-04-15,0.21845,8
AAPL,2020-04-16,-0.03269,10
AAPL,2020-04-17,0.04930000000000001,2
AAPL,2020-04-20,0.08588,10
AAPL,2020-04-21,0.1023,4
AAPL,2020-04-22,-0.005716666666666671,6
AAPL,2020-04-23,-0.15058333333333332,6
AAPL,2020-04-24,0.1779,1
AAPL,2020-04-27,0.11795789473684211,19
AAPL,2020-04-28,0.413375,4
AAPL,2020-04-29,0.20268055555555556,36
AAPL,2020-04-30,0.07381785714285714,28
AAPL,2020-05-01,-0.3412,1
AAPL,2020-05-04,0.052107692307692306,13
AAPL,2020-05-05,0.0,5
AAPL,2020-05-07,0.11655714285714287,7
AAPL,2020-05-08,0.0,1
AAPL,2020-05-11,-0.07633000000000001,10
AAPL,2020-05-12,0.2483,3
AAPL,2020-05-13,-0.06263333333333333,6
AAPL,2020-05-14,0.006814285714285717,7
AAPL,2020-05-15,0.0,1
AAPL,2020-05-18,0.10341428571428571,7
AAPL,2020-05-19,0.09254285714285714,7
AAPL,2020-05-20,0.0007200000000000095,5
AAPL,2020-05-21,0.0,1
AAPL,2020-05-26,0.22297857142857144,14
AAPL,2020-05-27,-0.02589999999999998,4
AAPL,2020-05-28,-0.4023,1
AAPL,2020-06-01,-0.31842857142857145,14
AAPL,2020-06-09,0.2469,4
AAPL,2020-06-10,0.19885,6
