stock,r,p_value
AAPL,0.10407829871718932,0.4410263081809523
AMZN,0.15407394485140108,0.44289859903121875
GOOG,0.00021490628152296697,0.9970824868894085
META,0.018414604930241177,0.8851644472772168
NVDA,0.029648091238611587,0.3453720610644586
