stock,trading_date,avg_sentiment,news_count,daily_return,sentiment_category
AMZN,2020-06-09,0.077775,4,0.030427139202305886,positive
AMZN,2020-06-10,0.3912333333333333,6,0.017913292558120908,positive
GOOG,2018-11-12,0.0,2,-0.02581239736034935,neutral
GOOG,2018-11-13,0.4037,2,-0.0024839871358665055,positive
GOOG,2018-11-14,0.218,4,0.007345067825435425,positive
GOOG,2018-11-15,-0.10175,2,0.020169383042735634,negative
GOOG,2018-11-16,0.2023,1,-0.0030242743505561887,positive
GOOG,2018-11-19,0.2842,3,-0.03908660191769109,positive
GOOG,2018-11-20,0.0,1,0.005647184635283686,neutral
GOOG,2018-11-26,0.25015,8,0.024163055176369408,positive
GOOG,2018-11-27,0.0,1,-0.004014781569247283,neutral
GOOG,2018-11-28,0.0,1,0.0400417821151835,neutral
GOOG,2018-11-29,0.3818,1,0.001905709391622823,positive
GOOG,2018-12-03,0.0,1,0.010964657232860553,neutral
GOOG,2018-12-04,0.0,1,-0.05026072939524773,neutral
GOOG,2018-12-06,0.1806,2,0.01704394849767832,positive
GOOG,2018-12-10,0.29034,5,0.002865280463270503,positive
GOOG,2018-12-11,0.4404,1,0.011735921302187702,positive
GOOG,2018-12-12,0.4404,1,0.011342845058463169,positive
GOOG,2018-12-14,0.3818,1,-0.018645848667546372,positive
GOOG,2018-12-17,0.07655,2,-0.024536907084207082,positive
GOOG,2018-12-19,-0.128,1,-0.00554097622257832,negative
GOOG,2018-12-24,0.128,1,-0.0033894918381488504,positive
GOOG,2018-12-26,0.1168749999999999,4,0.06478044452306175,positive
GOOG,2018-12-27,0.0,1,0.004252351515211528,neutral
GOOG,2019-01-02,-0.1840999999999999,4,0.009887856039402676,negative
GOOG,2019-01-03,0.1774,4,-0.028483964076664314,positive
GOOG,2019-01-07,0.2807666666666666,3,-0.002166713311637647,positive
GOOG,2019-01-09,-0.0554499999999999,4,-0.0015052312674718182,negative
GOOG,2019-01-14,-0.0555666666666666,6,-0.011823766973422689,negative
GOOG,2019-01-15,0.0516,1,0.03107149445955204,positive
GOOG,2019-01-16,0.3481,2,0.0035463101985941936,positive
GOOG,2019-01-22,-0.0605714285714285,7,-0.025258103415945143,negative
GOOG,2019-01-23,0.260925,4,0.004717299633162808,positive
GOOG,2019-01-24,0.4404,1,-0.0015525758947433355,positive
GOOG,2019-01-25,0.0,1,0.01591377433422947,neutral
GOOG,2019-01-28,-0.1015333333333333,3,-0.019165886881514216,negative
GOOG,2019-01-29,0.0,2,-0.008840578003943111,neutral
GOOG,2019-01-30,-0.0754333333333333,3,0.02681463990965338,negative
GOOG,2019-01-31,0.4537,2,0.0250765508296662,positive
GOOG,2019-02-04,0.1712416666666666,24,0.019851493813671572,positive
GOOG,2019-02-05,0.39185,2,0.01164372029167593,positive
GOOG,2019-02-06,-0.1796333333333333,3,-0.026841476307338685,negative
GOOG,2019-02-11,-0.2934333333333333,3,-4.5666216434758766e-05,negative
GOOG,2019-02-12,0.3182,1,0.024072947500954678,positive
GOOG,2019-02-13,0.0381,3,-0.0010791798370242134,neutral
GOOG,2019-02-14,0.3062,2,0.0013480662847031866,positive
GOOG,2019-02-19,0.3749749999999999,4,0.004408929656951388,positive
GOOG,2019-02-20,-0.15674,5,-0.004255593260658941,negative
GOOG,2019-02-21,0.4215,1,-0.015110374966878393,positive
GOOG,2019-02-22,0.0,1,0.012215485753980238,neutral
GOOG,2019-02-25,0.0762333333333333,3,-0.0008735432212263472,positive
GOOG,2019-02-26,0.0,1,0.005164968229428135,neutral
GOOG,2019-02-27,0.0,1,0.000824970086568122,neutral
GOOG,2019-02-28,0.3522999999999999,2,0.003467579644550467,positive
GOOG,2019-03-04,-0.08475,2,0.0059684770052763625,negative
GOOG,2019-03-05,-0.296,1,0.012397646369264104,negative
GOOG,2019-03-06,0.7003,1,-0.0035885122392493862,positive
GOOG,2019-03-07,0.4939,1,-0.012574939524932827,positive
GOOG,2019-03-11,-0.0482999999999999,3,0.02927370940145191,neutral
GOOG,2019-03-14,0.0,3,-0.0065113265875221815,neutral
GOOG,2019-03-18,0.0,4,-0.00016881294086423804,neutral
GOOG,2019-03-19,0.13445,4,0.012319976783815134,positive
GOOG,2019-03-20,0.2266666666666666,3,0.020953476203846577,positive
GOOG,2019-03-25,-0.1097,3,-0.010369114635664478,negative
GOOG,2019-03-26,0.253,2,-0.007024386035062391,positive
GOOG,2019-03-27,0.0,2,-0.009792097625674567,neutral
GOOG,2019-03-28,0.0,1,-0.0038617575787260883,neutral
GOOG,2019-04-01,0.1529333333333333,3,0.018000386662994305,positive
GOOG,2019-04-03,0.0,1,0.0045232582432366275,neutral
GOOG,2019-04-04,0.3182,1,0.007529490301968922,positive
GOOG,2019-04-08,0.3830777777777778,9,-0.0027419349193738007,positive
GOOG,2019-04-09,0.0,4,-0.005474125823792364,neutral
GOOG,2019-04-10,0.0,1,0.004101004642838912,neutral
GOOG,2019-04-15,0.1133333333333333,3,0.0026521394416807453,positive
GOOG,2019-04-16,0.0386,2,0.004938219415216771,neutral
GOOG,2019-04-17,-0.1779,1,0.007505328039868475,negative
GOOG,2019-04-22,0.2968333333333333,6,0.010085985235975592,positive
GOOG,2019-04-23,0.0,2,0.012579639196358183,neutral
GOOG,2019-04-25,0.0,1,0.005931470670674344,neutral
GOOG,2019-04-29,0.0290363636363636,22,0.012105147734030153,neutral
GOOG,2019-04-30,0.2369399999999999,5,-0.07696603157811477,positive
GOOG,2019-05-01,-0.0273,5,-0.01716481270918757,neutral
GOOG,2019-05-02,0.0,1,-0.004682827357633923,neutral
GOOG,2019-05-06,-0.0455333333333333,6,0.0033659344647856138,neutral
GOOG,2019-05-07,-0.085,4,-0.012855395849096118,negative
GOOG,2019-05-08,-0.3597,1,-0.006668949143276315,negative
GOOG,2019-05-09,-0.6369,1,-0.003335389410336176,negative
